epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
001,2.751,0.679,32.923,0.759,0.118,0.004,0.005,0.008,0.001
002,1.972,0.661,3.269,0.651,0.189,0.381,0.146,0.252,0.040
003,1.756,0.652,2.673,0.483,0.250,0.554,0.248,0.345,0.085
004,1.622,0.627,2.309,0.422,0.280,0.645,0.317,0.391,0.122
005,1.561,0.625,2.108,0.380,0.278,0.634,0.301,0.387,0.120
006,1.536,0.627,1.988,0.350,0.332,0.690,0.372,0.449,0.157
007,1.436,0.596,1.861,0.343,0.330,0.702,0.369,0.449,0.154
008,1.429,0.607,1.805,0.322,0.348,0.714,0.393,0.467,0.167
009,1.429,0.611,1.750,0.302,0.350,0.706,0.395,0.468,0.167
010,1.417,0.609,1.733,0.296,0.373,0.728,0.425,0.493,0.188
011,1.413,0.610,1.719,0.287,0.372,0.749,0.426,0.497,0.191
012,1.358,0.590,1.624,0.283,0.375,0.735,0.427,0.497,0.187
013,1.347,0.590,1.611,0.277,0.387,0.734,0.435,0.506,0.195
014,1.307,0.585,1.564,0.271,0.387,0.743,0.440,0.509,0.198
015,1.348,0.591,1.581,0.264,0.397,0.744,0.452,0.517,0.205
016,1.360,0.601,1.603,0.264,0.385,0.738,0.433,0.506,0.196
017,1.315,0.588,1.562,0.261,0.406,0.749,0.463,0.526,0.212
018,1.288,0.582,1.495,0.259,0.404,0.742,0.460,0.523,0.212
019,1.344,0.602,1.546,0.252,0.409,0.747,0.466,0.529,0.215
020,1.310,0.585,1.506,0.253,0.418,0.750,0.475,0.537,0.219
021,1.251,0.569,1.460,0.258,0.420,0.753,0.475,0.539,0.220
022,1.282,0.579,1.458,0.248,0.423,0.757,0.479,0.543,0.225
023,1.299,0.584,1.490,0.252,0.430,0.743,0.482,0.544,0.224
024,1.312,0.589,1.493,0.241,0.427,0.756,0.484,0.546,0.227
025,1.262,0.576,1.454,0.249,0.433,0.751,0.486,0.549,0.228
026,1.284,0.582,1.461,0.243,0.431,0.759,0.488,0.550,0.227
027,1.241,0.570,1.403,0.249,0.433,0.762,0.492,0.552,0.231
028,1.283,0.592,1.461,0.241,0.435,0.759,0.491,0.553,0.230
029,1.283,0.588,1.451,0.242,0.440,0.750,0.495,0.555,0.232
030,1.227,0.567,1.400,0.243,0.441,0.748,0.494,0.555,0.232
031,1.319,0.595,1.475,0.244,0.443,0.752,0.498,0.557,0.235
032,1.287,0.582,1.467,0.241,0.443,0.755,0.499,0.559,0.236
033,1.278,0.590,1.439,0.237,0.444,0.755,0.500,0.560,0.237
034,1.259,0.578,1.419,0.240,0.446,0.755,0.502,0.561,0.237
035,1.259,0.583,1.412,0.236,0.446,0.758,0.502,0.562,0.238
036,1.277,0.587,1.437,0.233,0.448,0.759,0.503,0.563,0.238
037,1.241,0.574,1.385,0.237,0.448,0.760,0.503,0.563,0.239
038,1.223,0.575,1.376,0.236,0.449,0.761,0.505,0.565,0.239
039,1.210,0.566,1.346,0.234,0.450,0.762,0.506,0.566,0.240
040,1.214,0.567,1.355,0.236,0.450,0.765,0.507,0.567,0.241
041,1.215,0.567,1.362,0.236,0.451,0.766,0.508,0.568,0.241
042,1.244,0.576,1.401,0.234,0.452,0.765,0.509,0.568,0.242
043,1.212,0.570,1.336,0.228,0.453,0.766,0.509,0.569,0.242
044,1.220,0.563,1.345,0.234,0.452,0.768,0.510,0.569,0.243
045,1.216,0.569,1.365,0.235,0.455,0.764,0.511,0.570,0.243
046,1.230,0.574,1.365,0.229,0.455,0.766,0.511,0.571,0.244
047,1.228,0.572,1.345,0.230,0.455,0.766,0.511,0.571,0.244
048,1.230,0.574,1.356,0.229,0.455,0.766,0.512,0.571,0.244
049,1.209,0.567,1.341,0.233,0.457,0.762,0.513,0.571,0.245
050,1.264,0.589,1.381,0.232,0.457,0.763,0.513,0.571,0.245
051,1.220,0.569,1.358,0.237,0.457,0.762,0.513,0.571,0.245
052,1.223,0.569,1.348,0.226,0.457,0.764,0.514,0.572,0.245
053,1.226,0.575,1.333,0.226,0.457,0.765,0.514,0.572,0.246
054,1.176,0.556,1.289,0.231,0.457,0.765,0.515,0.573,0.246
055,1.276,0.597,1.404,0.225,0.458,0.764,0.515,0.573,0.247
056,1.210,0.570,1.321,0.229,0.458,0.766,0.516,0.573,0.247
057,1.221,0.573,1.373,0.224,0.458,0.766,0.516,0.573,0.247
058,1.208,0.568,1.343,0.229,0.458,0.767,0.516,0.574,0.248
059,1.197,0.561,1.329,0.227,0.459,0.766,0.516,0.574,0.248
060,1.216,0.573,1.339,0.223,0.459,0.767,0.517,0.574,0.248
061,1.211,0.568,1.355,0.230,0.460,0.767,0.517,0.575,0.248
062,1.177,0.561,1.303,0.229,0.461,0.768,0.517,0.576,0.249
063,1.213,0.566,1.346,0.229,0.460,0.769,0.518,0.576,0.249
064,1.197,0.570,1.293,0.218,0.461,0.768,0.519,0.576,0.249
065,1.215,0.573,1.334,0.223,0.460,0.771,0.519,0.576,0.249
066,1.209,0.573,1.360,0.223,0.460,0.772,0.519,0.577,0.250
067,1.216,0.567,1.324,0.229,0.461,0.772,0.520,0.577,0.250
068,1.193,0.559,1.289,0.228,0.460,0.773,0.520,0.577,0.250
069,1.202,0.566,1.312,0.220,0.460,0.775,0.521,0.577,0.250
070,1.176,0.561,1.287,0.223,0.460,0.777,0.521,0.578,0.250
071,1.237,0.578,1.340,0.224,0.460,0.777,0.521,0.578,0.251
072,1.216,0.579,1.307,0.220,0.460,0.778,0.522,0.578,0.251
073,1.192,0.569,1.300,0.219,0.461,0.778,0.523,0.579,0.251
074,1.178,0.559,1.327,0.223,0.461,0.778,0.523,0.579,0.251
075,1.241,0.588,1.354,0.219,0.461,0.778,0.523,0.579,0.251
076,1.157,0.555,1.249,0.223,0.461,0.780,0.523,0.579,0.252
077,1.213,0.577,1.298,0.216,0.461,0.778,0.523,0.579,0.252
078,1.247,0.585,1.349,0.218,0.460,0.780,0.523,0.579,0.252
079,1.219,0.573,1.327,0.216,0.460,0.780,0.524,0.579,0.253
080,1.160,0.552,1.271,0.226,0.461,0.781,0.525,0.580,0.253
081,1.224,0.579,1.323,0.218,0.461,0.782,0.525,0.580,0.253
082,1.200,0.573,1.307,0.221,0.461,0.782,0.525,0.580,0.254
083,1.191,0.563,1.309,0.218,0.461,0.781,0.525,0.580,0.254
084,1.178,0.560,1.267,0.223,0.462,0.782,0.525,0.581,0.254
085,1.179,0.564,1.280,0.221,0.463,0.781,0.526,0.581,0.254
086,1.215,0.577,1.306,0.215,0.463,0.781,0.526,0.582,0.254
087,1.181,0.567,1.273,0.214,0.464,0.780,0.527,0.582,0.255
088,1.155,0.557,1.229,0.215,0.464,0.780,0.528,0.582,0.255
089,1.188,0.562,1.288,0.217,0.465,0.779,0.528,0.582,0.255
090,1.162,0.555,1.264,0.214,0.465,0.778,0.528,0.582,0.256
091,1.175,0.563,1.262,0.218,0.465,0.779,0.529,0.583,0.256
092,1.171,0.561,1.273,0.217,0.466,0.778,0.529,0.583,0.256
093,1.142,0.552,1.261,0.220,0.467,0.777,0.530,0.583,0.256
094,1.175,0.564,1.279,0.212,0.467,0.777,0.530,0.584,0.257
095,1.210,0.572,1.315,0.212,0.467,0.779,0.530,0.584,0.257
096,1.160,0.556,1.287,0.219,0.468,0.778,0.531,0.584,0.257
097,1.112,0.540,1.215,0.220,0.469,0.778,0.532,0.585,0.257
098,1.179,0.563,1.285,0.217,0.469,0.780,0.533,0.585,0.258
099,1.167,0.559,1.260,0.217,0.469,0.779,0.533,0.585,0.258
100,1.213,0.575,1.300,0.220,0.469,0.778,0.533,0.585,0.258
101,1.169,0.561,1.265,0.219,0.470,0.778,0.533,0.586,0.258
102,1.200,0.572,1.301,0.215,0.470,0.778,0.533,0.586,0.259
103,1.210,0.565,1.303,0.220,0.470,0.779,0.533,0.586,0.259
104,1.192,0.569,1.294,0.214,0.470,0.778,0.534,0.586,0.259
105,1.144,0.554,1.236,0.220,0.470,0.778,0.534,0.586,0.259
106,1.216,0.578,1.329,0.218,0.471,0.778,0.535,0.587,0.260
107,1.204,0.571,1.297,0.220,0.473,0.777,0.535,0.588,0.260
108,1.193,0.564,1.275,0.218,0.473,0.778,0.536,0.588,0.260
109,1.178,0.567,1.268,0.217,0.473,0.778,0.536,0.588,0.260
110,1.201,0.570,1.295,0.216,0.474,0.779,0.537,0.589,0.260
111,1.188,0.571,1.285,0.216,0.473,0.780,0.537,0.589,0.261
112,1.173,0.562,1.261,0.212,0.474,0.780,0.537,0.590,0.261
113,1.193,0.565,1.317,0.214,0.474,0.782,0.538,0.590,0.261
114,1.170,0.556,1.236,0.217,0.474,0.782,0.538,0.590,0.261
115,1.134,0.547,1.211,0.210,0.475,0.782,0.539,0.591,0.261
116,1.174,0.561,1.239,0.211,0.475,0.783,0.539,0.591,0.261
117,1.195,0.574,1.283,0.209,0.475,0.783,0.539,0.591,0.262
118,1.126,0.540,1.234,0.215,0.475,0.783,0.539,0.592,0.262
119,1.171,0.565,1.251,0.215,0.476,0.781,0.540,0.591,0.262
120,1.154,0.551,1.258,0.219,0.476,0.782,0.540,0.592,0.262
121,1.188,0.562,1.277,0.217,0.476,0.781,0.540,0.592,0.262
122,1.174,0.564,1.254,0.215,0.477,0.780,0.541,0.592,0.263
123,1.153,0.554,1.241,0.210,0.477,0.782,0.541,0.592,0.263
124,1.118,0.544,1.228,0.212,0.478,0.782,0.542,0.593,0.263
125,1.148,0.556,1.219,0.211,0.478,0.783,0.542,0.593,0.263
126,1.143,0.558,1.219,0.211,0.479,0.782,0.542,0.594,0.263
127,1.195,0.571,1.278,0.211,0.479,0.782,0.543,0.594,0.264
128,1.143,0.551,1.254,0.214,0.479,0.783,0.543,0.594,0.264
129,1.175,0.566,1.272,0.213,0.480,0.783,0.543,0.595,0.264
130,1.160,0.560,1.252,0.213,0.480,0.785,0.544,0.596,0.264
131,1.201,0.570,1.317,0.212,0.480,0.786,0.544,0.596,0.264
132,1.210,0.575,1.303,0.212,0.481,0.786,0.544,0.596,0.264
133,1.152,0.554,1.248,0.213,0.481,0.785,0.544,0.596,0.264
134,1.155,0.558,1.237,0.213,0.482,0.783,0.545,0.597,0.264
135,1.171,0.561,1.240,0.208,0.482,0.783,0.545,0.597,0.265
136,1.205,0.577,1.281,0.210,0.482,0.784,0.545,0.597,0.265
137,1.153,0.560,1.235,0.211,0.482,0.784,0.546,0.597,0.265
138,1.161,0.570,1.245,0.211,0.483,0.784,0.546,0.597,0.265
